"Data Source","World Development Indicators",

"Last Updated Date","2024-03-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Curacao","CUW","Energy intensity level of primary energy (MJ/$2017 PPP GDP)","EG.EGY.PRIM.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.03","23.9","23.41","22.23","23.33","22.16","21.34","23.59","22.07","23.08","20.32","21.99","22.55","21.5","24.18","24.81","21.48","18.05","16.42","9.93","9.9","","","",
"Cayman Islands","CYM","Energy intensity level of primary energy (MJ/$2017 PPP GDP)","EG.EGY.PRIM.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.91","1.91","1.96","1.93","1.8","1.75","1.69","1.97","2.01","2.05","2.11","2.2","2","1.95","1.94","1.93","1.84","1.87","1.9","2.06","2.03","","","",
"Cyprus","CYP","Energy intensity level of primary energy (MJ/$2017 PPP GDP)","EG.EGY.PRIM.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.93","3.74","3.66","3.88","3.47","3.37","3.34","3.36","3.44","3.45","3.26","3.15","3.07","2.84","2.96","2.93","2.94","2.86","2.71","2.59","2.57","","","",
"Czechia","CZE","Energy intensity level of primary energy (MJ/$2017 PPP GDP)","EG.EGY.PRIM.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.74","6.71","6.69","6.74","6.58","6.11","5.85","5.53","5.28","5.21","5.39","5.1","5.11","5.11","4.85","4.61","4.44","4.41","4.28","4.09","4.08","4.16","","",
"Germany","DEU","Energy intensity level of primary energy (MJ/$2017 PPP GDP)","EG.EGY.PRIM.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.99","4.04","3.96","3.98","3.97","3.92","3.88","3.58","3.59","3.55","3.59","3.27","3.29","3.34","3.12","3.09","3.04","2.97","2.86","2.77","2.73","2.74","","",
"Djibouti","DJI","Energy intensity level of primary energy (MJ/$2017 PPP GDP)","EG.EGY.PRIM.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.03","5.95","6.1","6.13","5.83","5.74","5.12","5.19","5.25","4.43","4.35","3.63","3.3","2.98","2.49","2.42","2.22","2.16","2.18","2.08","1.88","1.86","","",
"Dominica","DMA","Energy intensity level of primary energy (MJ/$2017 PPP GDP)","EG.EGY.PRIM.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.47","2.64","2.55","2.68","3.1","3.23","2.9","3.25","2.94","3.28","3.02","2.79","3.01","2.91","2.93","3.14","3.02","2.9","2.95","2.92","3.19","3.03","","",
"Denmark","DNK","Energy intensity level of primary energy (MJ/$2017 PPP GDP)","EG.EGY.PRIM.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.99","3.06","3.01","3.17","2.99","2.83","2.93","2.83","2.78","2.78","2.89","2.63","2.52","2.5","2.32","2.25","2.24","2.19","2.14","2.01","1.96","2.07","","",
"Dominican Republic","DOM","Energy intensity level of primary energy (MJ/$2017 PPP GDP)","EG.EGY.PRIM.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.9","3.7","3.87","3.53","3.34","3.19","3.03","2.93","2.73","2.64","2.57","2.54","2.54","2.36","2.19","2.21","2.21","2.09","2.06","2","1.9","","","",
"Algeria","DZA","Energy intensity level of primary energy (MJ/$2017 PPP GDP)","EG.EGY.PRIM.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.18","4.07","4.12","4.08","3.96","3.9","4.1","4.21","4.16","4.48","4.42","4.47","4.72","4.76","5","5.05","4.85","4.93","5.2","5.32","5.32","","","",
"East Asia & Pacific (excluding high income)","EAP","Energy intensity level of primary energy (MJ/$2017 PPP GDP)","EG.EGY.PRIM.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.60984548637805","8.33005418957004","8.20804038696673","8.44348991443285","8.72545457924008","8.67965909935564","8.49429270100911","8.12508306205138","7.71745449700933","7.6089211911452","7.61352246849119","7.48732390092682","7.21093815651228","6.94912314608415","6.69829753708582","6.29726630568749","5.93041194394851","5.7643496789146","5.68992518682658","5.62822639994522","5.70413791533637","","","",
