,country,year,rgdpo,pop,emp,avh,cn,csh_c,csh_i,csh_x,csh_m
3265,Germany,1995,2642739.75,81.138659,37.81583023,1530.57,11489487.0,0.600800991,0.274207056,0.341498524,-0.356218487
3270,Germany,2000,3035471.75,81.400882,39.60311508,1465.94,11159206.0,0.59600848,0.242487699,0.384341478,-0.367192745
3275,Germany,2005,3391866.5,81.602741,38.92366791,1432.42,11485836.0,0.555189848,0.205525205,0.552069366,-0.455513
3280,Germany,2010,3672402.0,80.827002,40.63188171,1425.75,15333157.0,0.54569757,0.214208573,0.590326667,-0.520537436
3285,Germany,2015,3931076.75,81.787411,42.53557968,1400.79,18590536.0,0.533207774,0.219240829,0.594548881,-0.515065372
3289,Germany,2019,4275312.0,83.517045,44.79519653,1386.2,19606062.0,0.536769331,0.227068081,0.603715062,-0.550977051
3470,Denmark,1990,143015.4219,5.141115,2.634172201,1440.5,587138.3125,0.521136701,0.256618261,0.459981322,-0.456707627
3475,Denmark,1995,159860.3438,5.232704,2.611678839,1419.14,691006.8125,0.528219104,0.264670759,0.5375157,-0.513545871
3480,Denmark,2000,199781.7969,5.341194,2.755956173,1465.94,682733.0,0.488035202,0.244302601,0.515336573,-0.466134191
3485,Denmark,2005,233303.5,5.421702,2.784317493,1451.36,748700.0,0.466845989,0.262269884,0.658923805,-0.58161974
3490,Denmark,2010,271409.9688,5.554844,2.7914505,1422.31,1166865.375,0.459957242,0.232717261,0.562418103,-0.506952107
3495,Denmark,2015,270172.6563,5.688695,2.831585884,1407.15,1292897.375,0.465714276,0.271658719,0.547372043,-0.544614196
3499,Denmark,2019,311838.0,5.771876,2.971836567,1380.61,1473616.125,0.446605474,0.295378715,0.523103178,-0.515128732
3820,Spain,1990,728396.125,39.202525,14.0393343,1746.53,3082660.25,0.630885541,0.30279091,0.135217115,-0.229110435
3825,Spain,1995,868225.625,39.787419,13.70997715,1738.8,4325209.5,0.609773576,0.294463009,0.170771405,-0.236134529
3830,Spain,2000,1151572.75,40.824754,16.6057415,1752.82,4550492.5,0.619265199,0.275575966,0.196965247,-0.271658331
3835,Spain,2005,1427946.25,44.019123,19.62548447,1723.72,5669476.0,0.619440377,0.315984577,0.232922405,-0.357977957
3840,Spain,2010,1622292.375,46.931015,19.4127388,1705.78,10037753.0,0.572277606,0.290811211,0.230377108,-0.315116465
3845,Spain,2015,1669676.25,46.671926,18.35293007,1694.24,10462132.0,0.559480786,0.24495481,0.257648885,-0.3027412
3849,Spain,2019,1886595.25,46.736776,19.87201309,1685.95,11333968.0,0.536944151,0.266963542,0.268881321,-0.315479487
3890,Estonia,1990,19404.12305,1.565246,0.82864213,1746.1490000000003,66532.09375,0.555746675,0.248763323,0.320754975,-0.379814744
3895,Estonia,1995,15416.99902,1.433024,0.631948471,1983.23,66647.67188,0.487980992,0.143090725,0.419127494,-0.498293221
3900,Estonia,2000,18203.15039,1.399112,0.599835336,1977.87,59505.42578,0.538589895,0.202594995,0.456656307,-0.49679032
3905,Estonia,2005,27508.76758,1.355648,0.626955569,2008.37,81680.86719,0.563236594,0.308313608,0.666507006,-0.7702353
3910,Estonia,2010,31773.45508,1.332101,0.561121166,1874.7,152235.3125,0.523393095,0.234864622,0.752468467,-0.771333873
3915,Estonia,2015,37508.92188,1.315325,0.637358785,1851.62,175450.4844,0.52436322,0.263447315,0.743641496,-0.794638813
3919,Estonia,2019,44876.34766,1.325648,0.67297554,1797.21,201315.5781,0.498721749,0.305617601,0.769579172,-0.81509316
